,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
16,gcp,06/28/2022,Cloud Hardware Security Module (HSM),cloud_hardware_security_module_(hsm),Cloud Hardware Security Module (HSM),technique_scores,T1588,Obtain Capabilities,10.0,enterprise,protect,partial,,['https://cloud.google.com/kms/docs/hsm'],"Google Cloud's HSM may protect against adversary's attempts to obtain capabilities by compromising code signing certificates that will be used to run compromised code and other tampered executables. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",,06/28/2022,06/28/2022
17,gcp,06/28/2022,Certificate Authority Service,certificate_authority_service,Certificate Authority Service,technique_scores,T1040,Network Sniffing,10.0,enterprise,protect,minimal,,['https://cloud.google.com/certificate-authority-service/docs'],This control may mitigate against Network Sniffing by providing certificates for internal endpoints and applications to use with asymmetric encryption. This control helps protect the issuing Certificate Authority with the use of Google's IAM and policy controls.,,06/28/2022,06/28/2022
18,gcp,06/28/2022,Cloud Asset Inventory,cloud_asset_inventory,Cloud Asset Inventory,technique_scores,T1098,Account Manipulation,10.0,enterprise,detect,partial,,['https://cloud.google.com/asset-inventory/docs/overview'],"This control may be able to detect when adversaries use cloud accounts to elevate privileges through manipulation of IAM or access policies. This monitoring can be fine tuned to specific assets, policies, and organizations.",,06/28/2022,06/28/2022
19,gcp,06/28/2022,Cloud Asset Inventory,cloud_asset_inventory,Cloud Asset Inventory,technique_scores,T1098.001,Additional Cloud Credentials,10.0,enterprise,detect,partial,,['https://cloud.google.com/asset-inventory/docs/overview'],"This control may be able to detect when adversaries use cloud accounts to elevate privileges through manipulation of IAM or access policies for the creation of additional accounts. This monitoring can be fine tuned to specific assets, policies, and organizations.",,06/28/2022,06/28/2022
20,gcp,06/28/2022,Cloud Asset Inventory,cloud_asset_inventory,Cloud Asset Inventory,technique_scores,T1078,Valid Accounts,10.0,enterprise,detect,partial,,['https://cloud.google.com/asset-inventory/docs/overview'],"This control may be able to detect when adversaries use valid cloud accounts to elevate privileges through manipulation of IAM or access policies. This monitoring can be fine tuned to specific assets, policies, and organizations.",,06/28/2022,06/28/2022
21,gcp,06/28/2022,Cloud Asset Inventory,cloud_asset_inventory,Cloud Asset Inventory,technique_scores,T1078.004,Cloud Accounts,10.0,enterprise,detect,partial,,['https://cloud.google.com/asset-inventory/docs/overview'],"This control may be able to detect when adversaries use valid cloud accounts to elevate privileges through manipulation of IAM or access policies. This monitoring can be fine tuned to specific assets, policies, and organizations.",,06/28/2022,06/28/2022
22,gcp,06/28/2022,Identity Aware Proxy,identity_aware_proxy,Identity Aware Proxy,technique_scores,T1550.001,Application Access Token,10.0,enterprise,protect,minimal,,['https://cloud.google.com/iap'],This control may mitigate or prevent stolen application access tokens from occurring. ,,06/28/2022,06/28/2022
23,gcp,06/28/2022,Identity Aware Proxy,identity_aware_proxy,Identity Aware Proxy,technique_scores,T1528,Steal Application Access Token,10.0,enterprise,protect,minimal,,['https://cloud.google.com/iap'],This control may mitigate application access token theft if the application is configured to retrieve temporary security credentials using an IAM role.,,06/28/2022,06/28/2022
24,gcp,06/28/2022,Identity Aware Proxy,identity_aware_proxy,Identity Aware Proxy,technique_scores,T1528,Steal Application Access Token,10.0,enterprise,detect,partial,,['https://cloud.google.com/iap'],Control can detect potentially malicious applications,,06/28/2022,06/28/2022
25,gcp,06/28/2022,Identity Aware Proxy,identity_aware_proxy,Identity Aware Proxy,technique_scores,T1098.001,Additional Cloud Credentials,10.0,enterprise,detect,minimal,,['https://cloud.google.com/iap'],"Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment. IAP lets you enforce access control policies for applications and resources. This control may help mitigate against adversaries gaining access through cloud account by the configuration of access controls and firewalls, allowing limited access to systems.",,06/28/2022,06/28/2022
26,gcp,06/28/2022,Identity Aware Proxy,identity_aware_proxy,Identity Aware Proxy,technique_scores,T1078,Valid Accounts,10.0,enterprise,protect,partial,,['https://cloud.google.com/iap'],"IAP applies the relevant IAM policy to check if the user is authorized to access the requested resource. If the user has the IAP-secured Web App User role on the Cloud console project where the resource exists, they're authorized to access the application. This control can mitigate against adversaries that try to obtain credentials of accounts, including cloud accounts.",,06/28/2022,06/28/2022
27,gcp,06/28/2022,Identity Aware Proxy,identity_aware_proxy,Identity Aware Proxy,technique_scores,T1078.004,Cloud Accounts,10.0,enterprise,protect,partial,,['https://cloud.google.com/iap'],Protects access to applications hosted within cloud and other premises. ,,06/28/2022,06/28/2022
28,gcp,06/28/2022,Identity Aware Proxy,identity_aware_proxy,Identity Aware Proxy,technique_scores,T1190,Exploit Public-Facing Application,10.0,enterprise,protect,partial,,['https://cloud.google.com/iap'],"When an application or resource is protected by IAP, it can only be accessed through the proxy by principals, also known as users, who have the correct Identity and Access Management (IAM) role. IAP secures authentication and authorization of all requests to App Engine, Cloud Load Balancing (HTTPS), or internal HTTP load balancing.

With adversaries that may try to attempt malicious activity via applications, the application Firewalls may be used to limit exposure of applications to prevent exploit traffic from reaching the application.",,06/28/2022,06/28/2022
29,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1190,Exploit Public-Facing Application,10.0,enterprise,protect,partial,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect known vulnerabilities in various Linux OS packages. This information can be used to patch, isolate, or remove vulnerable software and machines. This control does not directly protect against exploitation and is not effective against zero day attacks, vulnerabilities with no available patch, and other end-of-life packages.",,06/28/2022,06/28/2022
30,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1068,Exploitation for Privilege Escalation,10.0,enterprise,protect,partial,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect known OS package vulnerabilities in various Linux OS packages (e.g., Debian, Ubuntu, Alpine, RHEL, CentOS, National Vulnerability Database)",,06/28/2022,06/28/2022
31,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1203,Exploitation for Client Execution,10.0,enterprise,protect,partial,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect known vulnerabilities in various Linux OS packages. This information can be used to patch, isolate, or remove vulnerable software and machines. This control does not directly protect against exploitation and is not effective against zero day attacks, vulnerabilities with no available patch, and other end-of-life packages.",,06/28/2022,06/28/2022
32,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1210,Exploitation of Remote Services,10.0,enterprise,protect,partial,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect known vulnerabilities in various Linux OS packages. This information can be used to patch, isolate, or remove vulnerable software and machines. This control does not directly protect against exploitation and is not effective against zero day attacks, vulnerabilities with no available patch, and other end-of-life packages.",,06/28/2022,06/28/2022
33,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1525,Implant Internal Image,10.0,enterprise,protect,partial,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect known vulnerabilities in Docker containers. This information can be used to detect malicious implanted images in the environment. This control does not directly protect against exploitation.",,06/28/2022,06/28/2022
34,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1610,Deploy Container,10.0,enterprise,protect,partial,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect known vulnerabilities in Docker containers. This information can be used to detect malicious implanted images in the environment. This control does not directly protect against exploitation.",,06/28/2022,06/28/2022
35,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1072,Software Deployment Tools,10.0,enterprise,protect,minimal,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect variations to store system packages and container images.",,06/28/2022,06/28/2022
36,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1211,Exploitation for Defense Evasion,10.0,enterprise,protect,partial,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect variations to store system packages and images stored in the repository, which adversaries may target to establish persistence while evading cyber defenses.",,06/28/2022,06/28/2022
37,gcp,06/28/2022,Artifact Registry,artifact_registry,Artifact Registry,technique_scores,T1212,Exploitation for Credential Access,10.0,enterprise,detect,significant,,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","Once this control is deployed, it can detect known OS package vulnerabilities in various Linux OS packages that could be used to escalate privileges and execute adversary-controlled code (e.g., Debian, Ubuntu, Alpine, RHEL, CentOS, National Vulnerability Database)",,06/28/2022,06/28/2022
38,gcp,06/28/2022,Google Kubernetes Engine,google_kubernetes_engine,Google Kubernetes Engine,technique_scores,T1613,Container and Resource Discovery,10.0,enterprise,protect,partial,,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","By default, GKE nodes use Google's Container-Optimized OS to enhance the security of GKE clusters, including: Locked down firewall, read-only filesystem, limited user accounts, and disabled root login.",,06/28/2022,06/28/2022
39,gcp,06/28/2022,Google Kubernetes Engine,google_kubernetes_engine,Google Kubernetes Engine,technique_scores,T1611,Escape to Host,10.0,enterprise,protect,partial,,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","By default, GKE nodes use Google's Container-Optimized OS to enhance the security of GKE clusters, including: Read-only filesystem, limited user accounts, and disabled root login.",,06/28/2022,06/28/2022
40,gcp,06/28/2022,Google Kubernetes Engine,google_kubernetes_engine,Google Kubernetes Engine,technique_scores,T1611,Escape to Host,10.0,enterprise,detect,partial,,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']",GKE provides the ability to audit against a Center for Internet Security (CIS) Benchmark which is a set of recommendations for configuring Kubernetes to support a strong security posture. The Benchmark is tied to a specific Kubernetes release.,,06/28/2022,06/28/2022
41,gcp,06/28/2022,Google Kubernetes Engine,google_kubernetes_engine,Google Kubernetes Engine,technique_scores,T1610,Deploy Container,10.0,enterprise,protect,partial,,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","Kubernetes role-based access control (RBAC), uses granular permissions to control access to resources within projects and objects within Kubernetes clusters.",,06/28/2022,06/28/2022
42,gcp,06/28/2022,Google Kubernetes Engine,google_kubernetes_engine,Google Kubernetes Engine,technique_scores,T1053.007,Container Orchestration Job,10.0,enterprise,protect,partial,,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']",GKE provides the ability to audit against a set of recommended benchmark [Center for Internet Security (CIS)]. This control may avoid privileged containers and running containers as root.,,06/28/2022,06/28/2022
43,gcp,06/28/2022,Google Kubernetes Engine,google_kubernetes_engine,Google Kubernetes Engine,technique_scores,T1609,Container Administration Command,10.0,enterprise,protect,partial,,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","This control may provide provide information about vulnerabilities within container images, such as the risk from remote management of a deployed container. With the right permissions, an adversary could escalate to remote code execution in the Kubernetes cluster.",,06/28/2022,06/28/2022
44,gcp,06/28/2022,Google Kubernetes Engine,google_kubernetes_engine,Google Kubernetes Engine,technique_scores,T1525,Implant Internal Image,10.0,enterprise,detect,partial,,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","After scanning for vulnerabilities, this control may alert personnel of tampered container images that could be running in a Kubernetes cluster.",,06/28/2022,06/28/2022
45,gcp,06/28/2022,Data Catalog,data_catalog,Data Catalog,non_mappable,,,10.0,enterprise,,,,,"This control was not mapped because the Data Catalog service isn't considered a security control capable of defending against MITRE's ATT&CK techniques, and would require the use of a secondary product, such as DLP, for cyber defense.",,06/28/2022,06/28/2022
46,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1137,Office Application Startup,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to establish persistence, Palo Alto Network's antivirus signatures is able to detect malware found in executables and Microsoft Office files (e.g., DOC, DOCX, RTF, XLS, XLSX, PPT, PPTX).

Although there are ways an attacker could modify the signature and deliver a malicious office file, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
47,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1546.006,LC_LOAD_DYLIB Addition,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to  execute malicious content and establish persistence, Palo Alto Network's antivirus signatures is able to detect malicious content found in Mach object files (Mach-O). These are used by the adversary to load and execute malicious dynamic libraries after the binary is executed.

This technique was scored as significant based on Palo Alto Network's advanced threat detection technology which constantly updates to detect against variations of these cyber-attacks.",,06/28/2022,06/28/2022
48,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1204.002,Malicious File,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to establish persistence, Palo Alto Network's antivirus signatures is able to detect malware found in portable document formats (PDF).

Although there are ways an attacker could modify the signature and deliver a malicious file, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
49,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1055.002,Portable Executable Injection,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to escalate privileges and automatically run on Windows systems, Palo Alto Network's antivirus signatures is able to detect malware found in portable executables (PE).

Although there are ways an attacker could avoid detection to deliver a malicious PE file, this technique was scored as significant based on Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
50,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1221,Template Injection,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to establish persistence, Palo Alto Network's antivirus signatures is able to detect malware found in executables and Microsoft Office file templates (e.g., DOC, DOCX, RTF, XLS, XLSX, PPT, PPTX).

Although there are ways an attacker could modify the known attack signature to avoid detection, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
51,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1505.003,Web Shell,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to establish persistence, Palo Alto Network's threat signatures is able to detect programs that use an internet connection to provide remote access to a compromised internal system.

Although there are multiple ways an attacker could establish unauthorized remote access to a compromised system, this technique was scored as significant based on Palo Alto Network's advanced threat detection technology which constantly updates to detect against variations of these cyber-attacks.",,06/28/2022,06/28/2022
52,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1204.003,Malicious Image,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to establish persistence, Palo Alto Network's antivirus signatures is able to detect download attempts or traffic generated from malicious programs designed to mine cryptocurrency without the user's knowledge.

Although there are ways an attacker could modify the attack to avoid detection, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these crypto-mining  attacks",,06/28/2022,06/28/2022
53,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1048,Exfiltration Over Alternative Protocol,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to compromise sensitive data, Palo Alto Network's spyware signatures is able to detect data exfiltration attempts over command and control communications.

Although there are ways an attacker could still exfiltrate data from a compromised system, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
54,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1041,Exfiltration Over C2 Channel,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to compromise sensitive data, Palo Alto Network's spyware signatures is able to detect data exfiltration attempts and anomalies over known command and control communications.

Although there are ways an attacker could still exfiltrate data from a compromised system, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
55,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1567,Exfiltration Over Web Service,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to compromise sensitive data, Palo Alto Network's spyware signatures is able to detect data exfiltration attempts over command and control communications (e.g., WebShell).

Although there are ways an attacker could exfiltrate data from a compromised system, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
56,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1567.002,Exfiltration to Cloud Storage,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to compromise sensitive data, Palo Alto Network's spyware signatures is able to detect data exfiltration attempts over command and control communications (e.g., WebShell).

Although there are multiple ways an attacker could exfiltrate data from a compromised system, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
57,gcp,06/28/2022,Cloud IDS,cloud_ids,Cloud IDS,technique_scores,T1020,Automated Exfiltration,10.0,enterprise,detect,significant,,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']","Often used by adversaries to compromise sensitive data, Palo Alto Network's spyware signatures is able to detect data exfiltration attempts over command and control communications.

Although there are ways an attacker could still exfiltrate data from a compromised system, this technique was scored as significant based on  Palo Alto Network's advanced threat detection technology which constantly updates to detect against the latest known variations of these attacks.",,06/28/2022,06/28/2022
